"","PMAID","Name","Alt_Name","xPos","yPos","Feature_ID","hours","Feature_Desc","CHILD_DESC","FIELD_TYPE","YOUTH_ONLY","LIGHTING","Location.1"
"865",319,"Magnolia Playfield","",-122.3994722,47.64374582,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"2518 34th Ave W
(-122.3994722, 47.64374582)"
"866",319,"Magnolia Playfield","",-122.3994722,47.64374582,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"2518 34th Ave W
(-122.3994722, 47.64374582)"
"881",3881,"Maple Leaf Resevoir Park","",-122.3156129,47.6890145,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1020 NE 82nd St
(-122.3156129, 47.6890145)"
"882",3881,"Maple Leaf Resevoir Park","",-122.3156129,47.6890145,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"1020 NE 82nd St
(-122.3156129, 47.6890145)"
"893",418,"Maple Wood Playfield","",-122.3188451,47.56004088,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"4801 Corson Ave S
(-122.3188451, 47.56004088)"
"894",418,"Maple Wood Playfield","",-122.3188451,47.56004088,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"4801 Corson Ave S
(-122.3188451, 47.56004088)"
"927",352,"Meadowbrook Playfield","Annie's Playground",-122.2934929,47.70577111,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"10533 35th Ave NE
(-122.2934929, 47.70577111)"
"928",352,"Meadowbrook Playfield","Annie's Playground",-122.2934929,47.70577111,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"10533 35th Ave NE
(-122.2934929, 47.70577111)"
"969",376,"Montlake Playfield","",-122.310081,47.64240669,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1618 E Calhoun St
(-122.310081, 47.64240669)"
"970",376,"Montlake Playfield","",-122.310081,47.64240669,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"1618 E Calhoun St
(-122.310081, 47.64240669)"
"983",419,"Mt. Baker Park","",-122.288481,47.580957,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"2521 Lake Park Dr S
(-122.288481, 47.580957)"
"984",419,"Mt. Baker Park","",-122.288481,47.580957,40,"6 a.m. - 10 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"2521 Lake Park Dr S
(-122.288481, 47.580957)"
"1013",361,"Northacres Park","",-122.326124,47.721775,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"12718 1st Ave NE
(-122.326124, 47.721775)"
"1014",361,"Northacres Park","",-122.326124,47.721775,40,"6 a.m. - 10 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"12718 1st Ave NE
(-122.326124, 47.721775)"
"1031",323,"Occidental Square","",-122.333272,47.600463,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"117 S Washington St
(-122.333272, 47.600463)"
"1073",345,"Powell Barnett Park","",-122.295998,47.605197,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"352 Martin Luther King Jr Way
(-122.295998, 47.605197)"
"1074",345,"Powell Barnett Park","",-122.295998,47.605197,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"352 Martin Luther King Jr Way
(-122.295998, 47.605197)"
"1095",420,"Pritchard Island Beach","",-122.26283,47.528948,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"8400 55th Ave S
(-122.26283, 47.528948)"
"1096",420,"Pritchard Island Beach","",-122.26283,47.528948,40,"6 a.m. - 10 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"8400 55th Ave S
(-122.26283, 47.528948)"
"1109",3984,"Queen Anne Bowl Playfield","",-122.3597106,47.64559923,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"2806 3rd Ave W
(-122.3597106, 47.64559923)"
"1119",422,"Rainier Beach Playfield","",-122.2731358,47.52504095,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"8802 Rainier Ave S
(-122.2731358, 47.52504095)"
"1167",463,"Riverview Playfield","",-122.348688,47.54101,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"7226 12th Ave SW
(-122.348688, 47.54101)"
"1185",248,"Ross Playground","",-122.3613468,47.65971791,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"4320 4th Ave NW
(-122.3613468, 47.65971791)"
"1193",464,"Roxhill Park","",-122.368881,47.519496,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"2850 SW Roxbury St
(-122.368881, 47.519496)"
"1329",435,"University Playground","",-122.3193123,47.66444741,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"4745 9th Ave NE
(-122.3193123, 47.66444741)"
"1343",338,"Victor Steinbrueck Park","",-122.343869,47.610153,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"2001 Western Ave
(-122.343869, 47.610153)"
"1357",444,"View Ridge Playfield","",-122.279969,47.679747,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"4408 NE 70th St
(-122.279969, 47.679747)"
"1365",399,"Volunteer Park","",-122.315568,47.630378,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"1247 15th Ave E
(-122.315568, 47.630378)"
"1366",399,"Volunteer Park","",-122.315568,47.630378,40,"6 a.m. - 10 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"1247 15th Ave E
(-122.315568, 47.630378)"
"1391",3941,"Walt Hundley Playfield","",-122.3734149,47.54016974,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"6920 34th Ave SW
(-122.3734149, 47.54016974)"
"1392",3941,"Walt Hundley Playfield","",-122.3734149,47.54016974,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"6920 34th Ave SW
(-122.3734149, 47.54016974)"
"1497",472,"West Seattle Stadium","",-122.3743482,47.56282555,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"4432 35th Ave SW
(-122.3743482, 47.56282555)"
"1498",472,"West Seattle Stadium","",-122.3743482,47.56282555,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"4432 35th Ave SW
(-122.3743482, 47.56282555)"
